City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
188,remire-montjoly,4.9167,-52.2667,29.02,70,0,3.6,GF,1701549865
189,urangan,-25.3,152.9,25.24,86,96,4.15,AU,1701549865
190,progreso,21.2833,-89.6667,34.06,55,76,3.53,MX,1701549865
191,clarkston heights-vineland,46.3874,-117.083,8.47,78,20,6.17,US,1701549865
192,sisimiut,66.9395,-53.6735,-4.5,72,100,3.57,GL,1701549866
193,al majaridah,19.1236,41.9111,25.4,53,5,1.09,SA,1701549866
194,micheweni,-4.9667,39.8333,26.75,88,59,3.59,TZ,1701549866
195,graham,47.0529,-122.2943,9.7,84,40,6.17,US,1701549686
196,tevriz,57.509,72.4042,-8.42,94,100,3.49,RU,1701549866
197,udachny,66.4167,112.4,-34.2,66,98,1.38,RU,1701549866
198,east london,-33.0153,27.9116,20.84,79,99,3.82,ZA,1701549761
199,nizhniy odes,63.6445,54.856,-11.08,97,100,1.39,RU,1701549867
200,pasni,25.2631,63.471,23.9,69,0,2.72,PK,1701549867
201,sittwe,20.15,92.9,24.81,67,90,2.43,MM,1701549867
202,vorkuta,67.5,64.0,-15.99,95,94,2.3,RU,1701549867
203,sitka,57.0531,-135.33,5.94,61,0,0.0,US,1701549867
204,hilo,19.7297,-155.09,27.01,81,20,3.6,US,1701549732
205,thames,-37.1333,175.5333,18.7,78,100,3.46,NZ,1701549868
206,inarajan village,13.2736,144.7484,26.54,94,37,9.52,GU,1701549868
207,invercargill,-46.4,168.35,12.42,65,64,6.94,NZ,1701549868
208,tsiombe,-25.3,45.4833,21.08,64,83,6.81,MG,1701549868
209,abepura,-2.6333,140.5833,23.45,94,20,0.51,ID,1701549868
210,mitu,1.1983,-70.1733,26.82,79,99,0.68,CO,1701549869
211,cozumel,20.5083,-86.9458,30.04,82,75,4.12,MX,1701549869
212,portland,45.5234,-122.6762,11.09,93,100,3.58,US,1701549719
213,susuman,62.7833,148.1667,-34.26,100,100,0.68,RU,1701549869
214,itacarambi,-15.1022,-44.0919,30.69,40,99,2.31,BR,1701549869
215,whitehorse,60.7161,-135.0538,-10.5,92,100,1.54,CA,1701549856
216,simanggang,1.2472,111.4528,23.99,100,94,0.0,MY,1701549869
217,kununurra,-15.7667,128.7333,26.99,83,75,2.57,AU,1701549745
218,dunedin,-45.8742,170.5036,12.11,90,97,4.92,NZ,1701549870
219,minas de marcona,-15.2119,-75.1103,18.62,61,78,8.4,PE,1701549870
220,hailin,44.5833,129.4167,-16.48,98,58,1.39,CN,1701549870
221,floro,61.5996,5.0328,-0.02,69,100,4.12,NO,1701549870
222,thompson,55.7435,-97.8558,-8.91,92,40,2.06,CA,1701549870
223,redding,40.5865,-122.3917,10.36,89,100,0.45,US,1701549665
